Drug,Advice
Abiraterone,Continue
Acamprosate,Continue
Acarbose,Follow Diabetes and surgery guideline. Usually omitted morning of surgery.
Acenocoumarol,Treat as for Warfarin. See Anticoagulation policy
Acetubolol,Continue
Adalimumab,Omit if due week prior to surgery. Do not re-start until wound clean
Alendronate,"Continue, but may be safely omitted if due day of procedure"
Alfuzosin,"Continue, but could be withheld if catheterised"
Alimemazine,Continue
Aliskerin,Continue
Allopurinol,Continue – Take with plenty of water so tablet does not lodge in oesophagus
Alverine,Continue
Amantadine,Continue
Ambrisentan,Continue
Amifampridine,Continue – Alert anaesthetist (for myasthenic syndromes)
Amiloride,Continue
Amiodarone,Continue
Amisulpride,Continue
Amitriptyline,Continue – but caution with pethidine use. Also increased risk
,of arrhythmia’s and hypotension
Amlodipine,Continue
Anagrelide,Seek haematologist advice
Anastrozole,Continue
Apixaban,Omit 48 hours pre op
Apomorphine,Continue
Aripiprazole,Continue
Asenapine,Continue
Aspirin,Continue (75mg dose) unless otherwise specified. Reduce higher doses to 75mg.
Atenolol,Continue
Atorvastatin,Continue
Auranofin,Continue
Azathioprine,Continue
Azilsartan,Continue
,B
Baclofen,Continue
Balsalazide,Continue – but may not be indicated post-op if procedure is to remove diseased bowel.
Barbiturates,Continue
Bendroflumethiazide,Continue
Benzhexol,Continue
Benperidol,Continue
Betahistine,Continue
Betamethasone,Continue But consider dose increase if long duration or high
(steroid),dose
Bezafibrate,Continue
Bicalutamide,Continue
Bilastine,Continue
Bisacodyl,Continue – May omit if laxative action undesirable
Bisoprolol,Continue
Bosentan,Continue
Bromocriptine,Continue
Budesonide MR,Continue – but may not be indicated post-op if procedure is to
capsules,remove diseased bowel.
Bumetanide,Continue
Buprenorphine,Continue – but alert anaesthetist
Buprenorphine patch,Continue – but alert anaesthetist it’s in situ
Bupropion,Continue – but avoid pethidine and alert anaesthetist (increases seizure risk)
Burinex A,Continue
Buspirone,Continue
,C
Cabergoline,Continue
Calcitonin,Continue
Calcium salts,Continue
Candesartan,Continue
Captopril,Continue
Carbamazepine,Continue
Carbimazole,Continue
Carbocisteine,Continue
Carvedilol,Continue
Celecoxib,Continue
Celiprolol,Continue
Cetirizine,Continue
Chloroquine,Continue
Chlorpheniramine,Continue
Chlorpromazine,Continue
Chlorpropamide,Follow Diabetes and surgery guideline.
Ciclosporin,Continue
Cilazapril,Continue
Cilostazol,Continue
Cimetidine,Continue
Cinacalcet,Continue
Cinnarizine,Continue
Ciprofibrate,Continue
Citalopram,Continue – but caution with pethidine use
Clodronate,Continue - but may be safely omitted if due day of procedure
Clomethiazole,Continue
Clomifene,Continue
,
,of arrhythmia’s and hypotension
,
Clonazepam,Continue
Clonidine,Continue
Clopidogrel,"See Algorithm. Discuss with surgical/cardiology teams (If single
agent for stroke, usually omit 7 days pre-op. Start 75mg aspirin
in its place where possible)."
,Withhold 12 hours pre-op.
Clozapine,Alert anaesthetist. Alert Pharmacy that pt is in hospital. Dose
,will need re-titrating if withheld for more than 48hrs.
Co-amilofruse,Continue
Co-amilozide,Continue
Co-beneldopa,Continue
Co-careldopa,Continue
Co-danthramer,Continue – May omit if laxative action undesirable
Codeine phosphate,Continue
Colchicine,Continue – but alert anaesthetist as pt may have gout
Colesevelam,Continue
Colestyramine,Continue
Contraceptives,See oral contraceptives
Co-phenotrope (lomitil),Continue
,
,
Cyanocobalamin,Continue
Cyproterone,Continue
,D
,Renal function and bleeding risk dependant as below:
Dabigatran (see,
simplified,Creatinine Clearance Standard surgery Major surgery or high bleeding risk
recommendations,>80mls/min Omit 24hrs pre-op Omit 48hrs pre-op
appendix 11),50 -80mls/min Omit 36hrs pre-op Omit 72hrs pre-op
,30-50mls/min Omit 48hrs pre-op Omit 96hrs pre-op
Dapaglifozin,Follow Diabetes and surgery guideline. Usually omitted morning of surgery.
Deflazacort (steroid),Continue. But consider dose increase if long duration or high dose
Desferrioxamine,Seek haematologist advice
Desloratidine,Continue
Dexamethasone,Continue. But consider dose increase if long duration or high
(steroid),dose
Dexamfetamine,Continue – but alert anaesthetist
Diazepam,Continue
Diclofenac,Continue
Dicycloverine,Continue
Digoxin,Continue
Diltiazem,Continue
Dipyridamole,Withhold 48 hrs prior to procedure or switch to aspirin 75mg
Disopyramide,Continue
Disulfiram,Continue – but alert anaesthetist
Docusate sodium,Continue – May omit if laxative action undesirable
Domperidone,Continue
Donepezil,Continue.  But alert anaesthetist – may potentiate muscle relaxation during anaesthesia
,Continue – but caution with pethidine use. Also increased risk
Dosulepin,of arrhythmia’s and hypotension
,Continue if for BP control
Doxazosin,"If for urinary symptoms, could be withheld if pt catheterised"
,Continue – but caution with pethidine use. Also increased risk
Doxepin,of arrhythmia’s and hypotension
Dronedarone,Continue
Dutasteride,Continue
Duloxetine,Continue – but caution with pethidine use
,E
Enalapril,Continue
Entacapone,Continue
Ephedrine,Seek anaesthetist advice
Eplerenone,Continue
Eprosartan,Continue
Escitalopram,Continue – but caution with pethidine use
Eslicarbazepine,Continue
Esomeprazole,Continue
