Drug,Advice
Abiraterone,Continue
Acamprosate,Continue
Acarbose,Follow Diabetes and surgery guideline. Usually omitted morning of surgery
Acenocoumarol,Treat as for Warfarin. See Anticoagulation policy
Acetubolol,Continue
Adalimumab,Omit if due week prior to surgery. Do not re-start until wound clean
Alendronate,"Continue, but may be safely omitted if due day of procedure"
Alfuzosin,"Continue, but could be withheld if catheterised"
Alimemazine,Continue
Aliskerin,Continue
Allopurinol,Continue – Take with plenty of water so tablet does not lodge in oesophagus
Alverine,Continue
Amantadine,Continue
Ambrisentan,Continue
Amifampridine,Continue – Alert anaesthetist (for myasthenic syndromes)
Amiloride,Continue
Amiodarone,Continue
Amisulpride,Continue
Amitriptyline,Continue – but caution with pethidine use. Also increased risk of arrhythmias and hypotension
Amlodipine,Continue
Anagrelide,Seek haematologist advice
Anastrozole,Continue
Apixaban,Omit 48 hours pre op
Apomorphine,Continue
Aripiprazole,Continue
Asenapine,Continue
Aspirin,Continue (75mg dose) unless otherwise specified. Reduce higher doses to 75mg.
Atenolol,Continue
Atorvastatin,Continue
Auranofin,Continue
Azathioprine,Continue
Azilsartan,Continue
Baclofen,Continue
Balsalazide,Continue – but may not be indicated post-op if procedure is to remove diseased bowel.
Barbiturates,Continue
Bendroflumethiazide,Continue
Benzhexol,Continue
Benperidol,Continue
Betahistine,Continue
Betamethasone (steroid),Continue. But consider dose increase if long duration or high dose; see Trust Guideline
Bezafibrate,Continue
Bicalutamide,Continue
Bilastine,Continue
Bisacodyl,Continue – May omit if laxative action undesirable
Bisoprolol,Continue
Bosentan,Continue
Bromocriptine,Continue
Budesonide MR capsules,Continue ï¿½ but may not be indicated post-op if procedure is to remove diseased bowel.
Bumetanide,Continue
Buprenorphine,Continue – but alert anaesthetist
Buprenorphine patch,Continue – but alert anaesthetist it’s in situ
Bupropion,Continue – but avoid pethidine and alert anaesthetist (increases seizure risk)
Burinex,Continue
Buspirone,Continue
Cabergoline,Continue
Calcitonin,Continue
Calcium salts,Continue
Candesartan,Continue
Captopril,Continue
Carbamazepine,Continue
Carbimazole,Continue
Carbocisteine,Continue
Carvedilol,Continue
Celecoxib,Continue
Celiprolol,Continue
Cetirizine,Continue
Chloroquine,Continue
Chlorpheniramine,Continue
Chlorpromazine,Continue
Chlorpropamide,Follow Diabetes and surgery guideline.
Ciclosporin,Continue
Cilazapril,Continue
Cilostazol,Continue
Cimetidine,Continue
Cinacalcet,Continue
Cinnarizine,Continue
Ciprofibrate,Continue
Citalopram,Continue – but caution with pethidine use
Clodronate,Continue - but may be safely omitted if due day of procedure
Clomethiazole,Continue
Clomifene,Continue 
Clonazepam,Continue
Clonidine,Continue
Clopidogrel,"See Algorithm. Discuss with surgical/cardiology teams (If single
agent for stroke, usually omit 7 days pre-op. Start 75mg aspirin
in its place where possible). Withhold 12 hours pre-op."
Clozapine,Alert anaesthetist. Alert Pharmacy that patent is in hospital. Dose will need re-titrating if withheld for more than 48hrs.
Co-amilofruse,Continue
Co-amilozide,Continue
Co-beneldopa,Continue
Co-careldopa,Continue
Co-danthramer,Continue – May omit if laxative action undesirable
Codeine phosphate,Continue
Colchicine,Continue ï¿½ but alert anaesthetist as patient may have gout
Colesevelam,Continue
Colestyramine,Continue
Contraceptives,See oral contraceptives
Co-phenotrope (lomitil),Continue 
Cyanocobalamin,Continue
Cyproterone,Continue
Dabigatran (Creatinine Clearance >80mls/min),Omit 24hrs pre-op (Standard surgery); Omit 48hrs pre-op (Major surgery or high bleeding risk)
Dabigatran (Creatinine Clearance 50-80mls/min),Omit 36hrs pre-op (Standard surgery); Omit 72hrs pre-op (Major surgery or high bleeding risk)
Dabigatran (Creatinine Clearance 30-50mls/min),Omit 48hrs pre-op (Standard surgery); Omit 96hrs pre-op (Major surgery or high bleeding risk)
Dapaglifozin,Follow Diabetes and surgery guideline. Usually omitted morning of surgery.
Deflazacort (steroid),Continue. But consider dose increase if long duration or high dose
Desferrioxamine,Seek haematologist advice
Desloratidine,Continue
Dexamethasone (steroid),Continue. But consider dose increase if long duration or high dose; see Trust Guideline
Dexamfetamine,Continue – but alert anaesthetist
Diazepam,Continue
Diclofenac,Continue
Dicycloverine,Continue
Digoxin,Continue
Diltiazem,Continue
Dipyridamole,Withhold 48 hrs prior to procedure or switch to aspirin 75mg
Disopyramide,Continue
Disulfiram,Continue – but alert anaesthetist
Docusate sodium,Continue – May omit if laxative action undesirable
Domperidone,Continue
Donepezil,Continue. But alert anaesthetist ï¿½ may potentiate muscle relaxation during anaesthesia
Dosulepin,Continue - but caution with pethidine use. Also increased risk of arrhythmias and hypotension
Doxazosin,"Continue if for BP control. If for urinary symptoms, could be withheld if patient catheterised"
Doxepin,Continue - but caution with pethidine use. Also increased risk of arrhythmias and hypotension
Dronedarone,Continue
Dutasteride,Continue
Duloxetine,Continue ï¿½ but caution with pethidine use
Enalapril,Continue
Entacapone,Continue
Ephedrine,Seek anaesthetist advice
Eplerenone,Continue
Eprosartan,Continue
Escitalopram,Continue – but caution with pethidine use
